"0","which.github =""remote"""
"0","github.local = ""C:/git/GregRehkemper/WSUStats419/"""
"0","github.remote = ""https://github.com/GregRehkemper/WSUStats419/tree/HEAD/"""
"0",""
"0",""
"0","if (which.github ==""remote"")"
"0","{"
"0","  mypath = github.remote"
"0"," "
"0","}else"
"0","  {"
"0","  mypath = github.local"
"0",""
"0","}"
"0",""
"0",""
"0","#well.Location.Raw = https://raw.githubusercontent.com/GregRehkemper/WSUStats419/main/o-well/wells-location.txt?token=ASUPSE7VGFM3RGCMWSKDPPDAFIFC2"
